field	filter	public_value	code	swedish	english	synonyms	comments	ices_biology	ices_physical_and_chemical	source
platform_code		77K7	77K7	KBV046 (ICES)	KBV046 (ICES)					translate_SHIPC
platform_code		77K8	77K8	KBV105 (ICES)	KBV105 (ICES)					translate_SHIPC
platform_code		77K9	77K9	KBV181 (ICES)	KBV181 (ICES)	K9				translate_SHIPC
platform_code		77KA	77KA	KBV047 (ICES)	KBV047 (ICES)	7771				translate_SHIPC
platform_code		77KB	77KB	KBV 001 Poseidon (ICES)	KBV 001 Poseidon (ICES)	KBV 001 Poseidon<or>1				translate_SHIPC
platform_code		77KC	77KC	KBV 002 Triton (ICES)	KBV 002 Triton (ICES)	2				translate_SHIPC
platform_code		77KD	77KD	KBV590 (Svävare) (ICES)	KBV590 (Hovercraft) (ICES)	7762				translate_SHIPC
platform_code		77KG	77KG	KALKGRUNDET (ICES)	KALKGRUNDET (ICES)					translate_SHIPC
platform_code		77KL	77KL	UTKLIPPAN (ICES)	UTKLIPPAN (ICES)					translate_SHIPC
platform_code		77KO	77KO	KOPPARSTENARNA (ICES)	KOPPARSTENARNA (ICES)					translate_SHIPC
platform_code		77LA	77LA	Limanda (ICES)	Limanda (ICES)					translate_SHIPC
platform_code		77LE	77LE	BLENDA (ICES)	BLENDA (ICES)					translate_SHIPC
platform_code		77LN	77LN	LANDSORT (ICES)	LANDSORT (ICES)					translate_SHIPC
platform_code		77LS	77LS	Belos (ICES)	Belos (ICES)	L,S				translate_SHIPC
platform_code		77LT	77LT	Baltica (ICES)	Baltica (ICES)					translate_SHIPC
platform_code		77LY	77LY	Lotty (ICES)	Lotty (ICES)	LY				translate_SHIPC
platform_code		77MO	77MO	MORILD (ICES)	MORILD (ICES)					translate_SHIPC
platform_code		77MW	77MW	Moonshadow (ICES)	Moonshadow (ICES)	81				translate_SHIPC
platform_code		77MP	77MP	M/V Performer (SMHI)	M/V Performer (SMHI)					translate_SHIPC
platform_code		77NA	77NA	Arctica (ICES)	Arctica (ICES)	77Svävare				translate_SHIPC
platform_code		77NC	77NC	Ancylus (ICES)	Ancylus (ICES)	22				translate_SHIPC
