field	filter	public_value	code	swedish	english	synonyms	comments	source
#NOT_DEFINED_LOMAC		1	1	0.01	0.01			translate_LOMAC
#NOT_DEFINED_LOMAC		5	5	0.05	0.05			translate_LOMAC
#NOT_DEFINED_LOMAC		10	10	0.1	0.1			translate_LOMAC
#NOT_DEFINED_LOMAC		25	25	0.25	0.25			translate_LOMAC
#NOT_DEFINED_LOMAC		50	50	0.5	0.5			translate_LOMAC
#NOT_DEFINED_LOMAC		75	75	0.75	0.75			translate_LOMAC
#NOT_DEFINED_LOMAC		100	100	1	1			translate_LOMAC
#NOT_DEFINED_LOMAC		A	A	Ej förekommande	Absent			translate_LOMAC
#NOT_DEFINED_LOMAC		P	P	Förekommande	Present			translate_LOMAC
