field	filter	public_value	code	swedish	english	synonyms	comments	edmo	source
laboratory		Stockholms universitet	DEEP	Stockholms universitet	Stockholm University Department of Ecology Environment and Plant Sciences	Stockholm University Systems Ecology<or>SUSE<or>IGSS<or>NSLS<or>Stockholm Universitet		623.0	translate_LABO
laboratory		Stockholms universitets marina forskningscentrum	SMRC	Stockholms universitets marina forskningscentrum	Stockholm University Marine Research Center	Stockholm University Marina Forsknings center		618.0	translate_LABO
laboratory		Sundsvallsbuktens vattenvårdsförening	SVVF	Sundsvallsbuktens vattenvårdsförening	Sundsvallsbukten Coalition of Water Conservation	SBVV<or>Sundsvallsbuktens Vattenvårdsförbund		5375.0	translate_LABO
laboratory		Svealands kustvattenvårdsförbund	SKVVF	Svealands kustvattenvårdsförbund	Coastal Committee of Svealand	Svealands Kustvattenvårdsförbund<or>Svealands Kustvattenkommitté		4778.0	translate_LABO
laboratory		Svelab Miljölaboratorier AB	SVELAB	Svelab Miljölaboratorier AB	Svelab Miljölaboratorier AB				translate_LABO
laboratory		Sven Lovén centrum för marina vetenskaper-Kristineberg	SLCK	Sven Lovén centrum för marina vetenskaper-Kristineberg	The Sven Lovén Centre for Marine Sciences-Kristineberg	SLC-K<or>KMRS<or>KMFS		617.0	translate_LABO
laboratory		Sven Lovén centrum för marina vetenskaper-Tjärnö	SLCT	Sven Lovén centrum för marina vetenskaper-Tjärnö	The Sven Lovén Centre for Marine Sciences-Tjärnö	SLC-T<or>University of Gutenburg Marine ecology Tjärnö<or>UGMET<or>UGBEST<or>TMBL<or>Sven lovén centrum för marina vetenskaper-Tjärnö<or>GUMET<or>IAMK		4756.0	translate_LABO
laboratory		Svensk Ekologikonsult AB	SEK	Svensk Ekologikonsult AB	Swedish Ecological Consultancy AB				translate_LABO
laboratory		Svensk Kärnbränslehantering AB	SKB	Svensk Kärnbränslehantering AB	SKB – Swedish Nuclear Fuel and Waste Management Co	SKBAB			translate_LABO
laboratory		Sveriges geologiska undersökning	SGUS	Sveriges geologiska undersökning	Geological Survey of Sweden				translate_LABO
laboratory		Sveriges lantbruksuniversitet 	SLU	Sveriges lantbruksuniversitet 	Swedish University of Agricultural Sciences	SLU Uppsala Miljöanalys<or>SLUUPP		189.0	translate_LABO
laboratory		Sveriges lantbruksuniversitet - Havsfiskelaboratoriet	SLUHL	Sveriges lantbruksuniversitet - Havsfiskelaboratoriet	Swedish University of Agricultural Sciences - Marine fisheries laboratory			4484.0	translate_LABO
laboratory		Sveriges lantbruksuniversitet Institutionen för akvatiska resurser	SLUA	Sveriges lantbruksuniversitet Institutionen för akvatiska resurser	Swedish University of Agricultural Sciences Department of Aquatic Resources			4484.0	translate_LABO
laboratory		Sveriges meteorologiska och hydrologiska institut	SMHI	Sveriges meteorologiska och hydrologiska institut	Swedish Meteorological and Hydrological Institute	SMHG		545.0	translate_LABO
laboratory		Sveriges Vattenekologer AB	SVVAEK	Sveriges Vattenekologer AB	Sveriges Vattenekologer AB				translate_LABO
laboratory		SWECO	SWECO	SWECO	SWECO	VBB Viak<or>VBB-V<or>VBB		5738.0	translate_LABO
laboratory		Sydkustens vattenvårdsförbund	SYDVVF	Sydkustens vattenvårdsförbund	Sydkusten Coalition of Water Conservation	Sydkustens Vattenvårdsförbund		4862.0	translate_LABO
laboratory		Sydvästra stockholmsregionens va-verk AB	SYVAB	Sydvästra stockholmsregionens va-verk AB	Southwest Stockholm region waterwork				translate_LABO
laboratory		SYNLAB Analytics & Services Sweden AB	SYNLAB	SYNLAB Analytics & Services Sweden AB	SYNLAB Analytics & Services Sweden AB			4852.0	translate_LABO
laboratory		Södra Cell Värö massafabrik	VARO	Södra Cell Värö massafabrik	Sodra Pulp Labs				translate_LABO
laboratory		Sölvesborgs kommun	SOLVKOM	Sölvesborgs kommun	Sölvesborgs Municipality				translate_LABO
laboratory		Toxicon AB	TOXICO	Toxicon AB	Toxicon AB			621.0	translate_LABO
laboratory		Trelleborgs Kommun	TRELKOM	Trelleborgs Kommun	Trelleborg Municipality				translate_LABO
laboratory		Tyréns AB	TYRENS	Tyréns AB	Tyréns AB	Tyréns			translate_LABO
laboratory		Tyresö Fiskevårdsförening	TYRFISK	Tyresö Fiskevårdsförening	Tyresö Fiskevårdsförening				translate_LABO
laboratory		Tång och Sånt	TASA	Tång och Sånt	Tång och Sånt				translate_LABO
laboratory		Täby kommun	TABYKOM	Täby kommun	Täby Municipality	Täby kommun Tekniska kontoret<or>Täby kommun, Tekniska kontoret		4923.0	translate_LABO
laboratory		Ume- och Vindelälvens vattenvårdsförbund	UVVVF	Ume- och Vindelälvens vattenvårdsförbund	Ume- and Vindelälven Coalition of Water Conservation	Ume/Vindelälvens vattenvårdsförbund<or>Ume/Vindelälvens Vattenvårdsförbund		5316.0	translate_LABO
laboratory		Umeå kommun	UMEKOM	Umeå kommun	Umeå Municipality	Umeå kommun (UMEVA)		5315.0	translate_LABO
laboratory		Umeå Universitet	UMSC	Umeå Universitet	Umeå University	UMF		622.0	translate_LABO
laboratory		Upplandsstiftelsen	UPPSTIFT	Upplandsstiftelsen	The Uppland Foundation				translate_LABO
laboratory		Uppsala universitet Campus Gotland	HGOT	Uppsala universitet Campus Gotland	Uppsala University Campus Gotland	Högskolan på Gotland<or>Gotland Högskola			translate_LABO
laboratory		Uppsala universitet Erkenlab	ERKEN	Uppsala universitet Erkenlab	Uppsala University, Erken laboratory	Erkenlab<or>Erkenlaboratoriet		5632.0	translate_LABO
laboratory		VA SYD	VASYD	VA SYD	VA SYD				translate_LABO
laboratory		Varbergs flygplats	ESGV	Varbergs flygplats	Airport of Varberg	varbergs flygplats<or>varberg flygplats			translate_LABO
laboratory		Varbergs hamn	VAG	Varbergs hamn	Port of Varberg	varbergs hamn<or>varberg hamn<or>Varbergs hamn			translate_LABO
laboratory		Vattenfall	VAFALL	Vattenfall	Vattenfall	Vattenfall AB			translate_LABO
laboratory		Vattenlaboratoriet Malmö	VLABMA	Vattenlaboratoriet Malmö	Waterlaboratory Malmö				translate_LABO
laboratory		Vattenmyndigheten i Bottenviken	VMBOT	Vattenmyndigheten i Bottenviken	Bothnian Bay Water District Authority			4788.0	translate_LABO
laboratory		Vattenvårdsförbundet för västra Hanöbukten	VHVVF	Vattenvårdsförbundet för västra Hanöbukten	Västra hanöbukten Coalition of Water Conservation	VVFVHB<or>Västra Hanöbuktens VVF<or>Västra Hanöbuktens vattenvårdsförbund<or>Västra hanöbuktens vattenvårdsförbund<or>VHVF<or>VVFVHB<or>Västra Hanöbuktens VVF<or>Västra Hanöbuktens vattenvårdsförbund<or>Västra hanöbuktens vattenvårdsförbund<or>Vvf för västra Hanöbukten<or>Vattenvårdsförbundet för Västra Hanöbukten		4782.0	translate_LABO
laboratory		Veolia	VEOLIA	Veolia	Veolia	Veolia Water AB<or>Veolia Vatten AB		4919.0	translate_LABO
laboratory		Värmdö kommun	VARMKOM	Värmdö kommun	Värmdö Municipality	Värmdö Kommun			translate_LABO
laboratory		Västerviks kommun	VASKOM	Västerviks kommun	Västerviks Municipality				translate_LABO
laboratory		Västkustmusslor	VASTMU	Västkustmusslor	West Coast Mussels				translate_LABO
laboratory		WATERS	WATERS	WATERS	WATERS	WATERS - Marine Monitoring			translate_LABO
laboratory		WEAQ AB	WEAQ	WEAQ AB	WEAQ AB	WEAQ HB		3989.0	translate_LABO
laboratory		WSP Environmental	WSP	WSP Environmental	WSP Environmental				translate_LABO
laboratory		Yoldia Environmental Consulting AB	YOLDIA	Yoldia Environmental Consulting AB	Yoldia Environmental Consulting AB	Yoldia Environmental Consulting AB (http://www.yoldia.se/)		4717.0	translate_LABO
laboratory		Ålands Fiskförädling AB	ALFISK	Ålands Fiskförädling AB	Ålands fiskförädling				translate_LABO
laboratory		Öresunds vattenvårdsförbund	OVVF	Öresunds vattenvårdsförbund	Öresund Coalition of Water Conservation	OVF<or>Öresunds Vattenvårdsförbund<or>Ötesunds Vattenvårdsförbund<or>ÖVF<or>Öresunds Vattenvårdsförbund 2016 och framåt<or>Öresund Vattenvårdsförbund<or>Öresunds Vattenvårdsförbund 2021 och framåt<or>Öresunda Vattenvårdsförbund		4859.0	translate_LABO
laboratory		Öresundsbrokonsortiet	OKONS	Öresundsbrokonsortiet	Øresundsbro Konsortiet				translate_LABO
laboratory		Österåkers kommun	OAKOM	Österåkers kommun	Österåkers Municipality				translate_LABO
laboratory		Östhammars kommun	OSTKOM	Östhammars kommun	Östhammar Municipality				translate_LABO
